arm,checkpoint,probe_name,layer,module,epsilon,rr2s_rank,d10_rank,rank_diff,status
opd,80,E_general,14,self_attn.o_proj,0.05,933,933.0,0.0,PASS
opd,80,E_general,14,self_attn.o_proj,0.1,639,639.0,0.0,PASS
opd,80,E_general,14,self_attn.q_proj,0.01,683,683.0,0.0,PASS
opd,80,E_general,14,self_attn.q_proj,0.025,344,344.0,0.0,PASS
opd,80,E_general,14,self_attn.q_proj,0.05,152,152.0,0.0,PASS
opd,80,E_general,14,self_attn.q_proj,0.1,48,48.0,0.0,PASS
opd,80,E_general,14,self_attn.v_proj,0.01,860,860.0,0.0,PASS
opd,80,E_general,14,self_attn.v_proj,0.025,745,745.0,0.0,PASS
opd,80,E_general,14,self_attn.v_proj,0.05,624,624.0,0.0,PASS
opd,80,E_general,14,self_attn.v_proj,0.1,471,471.0,0.0,PASS
opd,80,E_math,14,mlp.down_proj,0.01,1140,1140.0,0.0,PASS
opd,80,E_math,14,mlp.down_proj,0.025,889,889.0,0.0,PASS
opd,80,E_math,14,mlp.down_proj,0.05,680,680.0,0.0,PASS
opd,80,E_math,14,mlp.down_proj,0.1,465,465.0,0.0,PASS
opd,80,E_math,14,mlp.gate_proj,0.01,557,557.0,0.0,PASS
opd,80,E_math,14,mlp.gate_proj,0.025,300,300.0,0.0,PASS
opd,80,E_math,14,mlp.gate_proj,0.05,144,144.0,0.0,PASS
opd,80,E_math,14,mlp.gate_proj,0.1,43,43.0,0.0,PASS
opd,80,E_math,14,mlp.up_proj,0.01,995,995.0,0.0,PASS
opd,80,E_math,14,mlp.up_proj,0.025,724,724.0,0.0,PASS
opd,80,E_math,14,mlp.up_proj,0.05,511,511.0,0.0,PASS
opd,80,E_math,14,mlp.up_proj,0.1,308,308.0,0.0,PASS
opd,80,E_math,14,self_attn.k_proj,0.01,257,257.0,0.0,PASS
opd,80,E_math,14,self_attn.k_proj,0.025,146,146.0,0.0,PASS
opd,80,E_math,14,self_attn.k_proj,0.05,81,81.0,0.0,PASS
opd,80,E_math,14,self_attn.k_proj,0.1,37,37.0,0.0,PASS
opd,80,E_math,14,self_attn.o_proj,0.01,806,806.0,0.0,PASS
opd,80,E_math,14,self_attn.o_proj,0.025,588,588.0,0.0,PASS
opd,80,E_math,14,self_attn.o_proj,0.05,424,424.0,0.0,PASS
opd,80,E_math,14,self_attn.o_proj,0.1,272,272.0,0.0,PASS
opd,80,E_math,14,self_attn.q_proj,0.01,377,377.0,0.0,PASS
opd,80,E_math,14,self_attn.q_proj,0.025,198,198.0,0.0,PASS
opd,80,E_math,14,self_attn.q_proj,0.05,97,97.0,0.0,PASS
opd,80,E_math,14,self_attn.q_proj,0.1,36,36.0,0.0,PASS
opd,80,E_math,14,self_attn.v_proj,0.01,645,645.0,0.0,PASS
opd,80,E_math,14,self_attn.v_proj,0.025,502,502.0,0.0,PASS
opd,80,E_math,14,self_attn.v_proj,0.05,383,383.0,0.0,PASS
opd,80,E_math,14,self_attn.v_proj,0.1,261,261.0,0.0,PASS
opd,80,E_ood,14,mlp.down_proj,0.01,2431,2431.0,0.0,PASS
opd,80,E_ood,14,mlp.down_proj,0.025,2029,2029.0,0.0,PASS
opd,80,E_ood,14,mlp.down_proj,0.05,1636,1636.0,0.0,PASS
opd,80,E_ood,14,mlp.down_proj,0.1,1179,1179.0,0.0,PASS
opd,80,E_ood,14,mlp.gate_proj,0.01,1287,1287.0,0.0,PASS
opd,80,E_ood,14,mlp.gate_proj,0.025,675,675.0,0.0,PASS
opd,80,E_ood,14,mlp.gate_proj,0.05,292,292.0,0.0,PASS
opd,80,E_ood,14,mlp.gate_proj,0.1,72,72.0,0.0,PASS
opd,80,E_ood,14,mlp.up_proj,0.01,2224,2224.0,0.0,PASS
opd,80,E_ood,14,mlp.up_proj,0.025,1726,1726.0,0.0,PASS
opd,80,E_ood,14,mlp.up_proj,0.05,1267,1267.0,0.0,PASS
opd,80,E_ood,14,mlp.up_proj,0.1,778,778.0,0.0,PASS
opd,80,E_ood,14,self_attn.k_proj,0.01,324,324.0,0.0,PASS
opd,80,E_ood,14,self_attn.k_proj,0.025,174,174.0,0.0,PASS
opd,80,E_ood,14,self_attn.k_proj,0.05,89,89.0,0.0,PASS
opd,80,E_ood,14,self_attn.k_proj,0.1,39,39.0,0.0,PASS
opd,80,E_ood,14,self_attn.o_proj,0.01,1522,1522.0,0.0,PASS
opd,80,E_ood,14,self_attn.o_proj,0.025,1157,1157.0,0.0,PASS
opd,80,E_ood,14,self_attn.o_proj,0.05,859,859.0,0.0,PASS
opd,80,E_ood,14,self_attn.o_proj,0.1,559,559.0,0.0,PASS
opd,80,E_ood,14,self_attn.q_proj,0.01,590,590.0,0.0,PASS
opd,80,E_ood,14,self_attn.q_proj,0.025,279,279.0,0.0,PASS
opd,80,E_ood,14,self_attn.q_proj,0.05,118,118.0,0.0,PASS
opd,80,E_ood,14,self_attn.q_proj,0.1,40,40.0,0.0,PASS
opd,80,E_ood,14,self_attn.v_proj,0.01,840,840.0,0.0,PASS
opd,80,E_ood,14,self_attn.v_proj,0.025,716,716.0,0.0,PASS
opd,80,E_ood,14,self_attn.v_proj,0.05,588,588.0,0.0,PASS
opd,80,E_ood,14,self_attn.v_proj,0.1,430,430.0,0.0,PASS
opd,80,E_if,14,mlp.down_proj,0.01,2408,2408.0,0.0,PASS
opd,80,E_if,14,mlp.down_proj,0.025,1995,1995.0,0.0,PASS
opd,80,E_if,14,mlp.down_proj,0.05,1591,1591.0,0.0,PASS
opd,80,E_if,14,mlp.down_proj,0.1,1124,1124.0,0.0,PASS
opd,80,E_if,14,mlp.gate_proj,0.01,1251,1251.0,0.0,PASS
opd,80,E_if,14,mlp.gate_proj,0.025,660,660.0,0.0,PASS
opd,80,E_if,14,mlp.gate_proj,0.05,297,297.0,0.0,PASS
opd,80,E_if,14,mlp.gate_proj,0.1,84,84.0,0.0,PASS
opd,80,E_if,14,mlp.up_proj,0.01,2141,2141.0,0.0,PASS
opd,80,E_if,14,mlp.up_proj,0.025,1625,1625.0,0.0,PASS
opd,80,E_if,14,mlp.up_proj,0.05,1161,1161.0,0.0,PASS
opd,80,E_if,14,mlp.up_proj,0.1,682,682.0,0.0,PASS
opd,80,E_if,14,self_attn.k_proj,0.01,337,337.0,0.0,PASS
opd,80,E_if,14,self_attn.k_proj,0.025,183,183.0,0.0,PASS
opd,80,E_if,14,self_attn.k_proj,0.05,95,95.0,0.0,PASS
opd,80,E_if,14,self_attn.k_proj,0.1,41,41.0,0.0,PASS
opd,80,E_if,14,self_attn.o_proj,0.01,1480,1480.0,0.0,PASS
opd,80,E_if,14,self_attn.o_proj,0.025,1128,1128.0,0.0,PASS
opd,80,E_if,14,self_attn.o_proj,0.05,841,841.0,0.0,PASS
opd,80,E_if,14,self_attn.o_proj,0.1,549,549.0,0.0,PASS
opd,80,E_if,14,self_attn.q_proj,0.01,613,613.0,0.0,PASS
opd,80,E_if,14,self_attn.q_proj,0.025,298,298.0,0.0,PASS
opd,80,E_if,14,self_attn.q_proj,0.05,129,129.0,0.0,PASS
opd,80,E_if,14,self_attn.q_proj,0.1,42,42.0,0.0,PASS
opd,80,E_if,14,self_attn.v_proj,0.01,823,823.0,0.0,PASS
opd,80,E_if,14,self_attn.v_proj,0.025,692,692.0,0.0,PASS
opd,80,E_if,14,self_attn.v_proj,0.05,558,558.0,0.0,PASS
opd,80,E_if,14,self_attn.v_proj,0.1,395,395.0,0.0,PASS
sft,20,E_general,14,mlp.down_proj,0.01,2527,2527.0,0.0,PASS
sft,20,E_general,14,mlp.down_proj,0.025,2164,2164.0,0.0,PASS
sft,20,E_general,14,mlp.down_proj,0.05,1798,1798.0,0.0,PASS
sft,20,E_general,14,mlp.down_proj,0.1,1357,1357.0,0.0,PASS
sft,20,E_general,14,mlp.gate_proj,0.01,1391,1391.0,0.0,PASS
sft,20,E_general,14,mlp.gate_proj,0.025,777,777.0,0.0,PASS
sft,20,E_general,14,mlp.gate_proj,0.05,363,363.0,0.0,PASS
sft,20,E_general,14,mlp.gate_proj,0.1,98,98.0,0.0,PASS
sft,20,E_general,14,mlp.up_proj,0.01,2309,2309.0,0.0,PASS
sft,20,E_general,14,mlp.up_proj,0.025,1845,1845.0,0.0,PASS
sft,20,E_general,14,mlp.up_proj,0.05,1405,1405.0,0.0,PASS
sft,20,E_general,14,mlp.up_proj,0.1,916,916.0,0.0,PASS
sft,20,E_general,14,self_attn.k_proj,0.01,375,375.0,0.0,PASS
sft,20,E_general,14,self_attn.k_proj,0.025,212,212.0,0.0,PASS
sft,20,E_general,14,self_attn.k_proj,0.05,112,112.0,0.0,PASS
sft,20,E_general,14,self_attn.k_proj,0.1,49,49.0,0.0,PASS
sft,20,E_general,14,self_attn.o_proj,0.01,1581,1581.0,0.0,PASS
sft,20,E_general,14,self_attn.o_proj,0.025,1235,1235.0,0.0,PASS
sft,20,E_general,14,self_attn.o_proj,0.05,951,951.0,0.0,PASS
sft,20,E_general,14,self_attn.o_proj,0.1,655,655.0,0.0,PASS
sft,20,E_general,14,self_attn.q_proj,0.01,692,692.0,0.0,PASS
sft,20,E_general,14,self_attn.q_proj,0.025,351,351.0,0.0,PASS
sft,20,E_general,14,self_attn.q_proj,0.05,156,156.0,0.0,PASS
sft,20,E_general,14,self_attn.q_proj,0.1,50,50.0,0.0,PASS
sft,20,E_general,14,self_attn.v_proj,0.01,862,862.0,0.0,PASS
sft,20,E_general,14,self_attn.v_proj,0.025,749,749.0,0.0,PASS
sft,20,E_general,14,self_attn.v_proj,0.05,629,629.0,0.0,PASS
sft,20,E_general,14,self_attn.v_proj,0.1,477,477.0,0.0,PASS
sft,20,E_math,14,mlp.down_proj,0.01,1155,1155.0,0.0,PASS
sft,20,E_math,14,mlp.down_proj,0.025,904,904.0,0.0,PASS
sft,20,E_math,14,mlp.down_proj,0.05,694,694.0,0.0,PASS
sft,20,E_math,14,mlp.down_proj,0.1,477,477.0,0.0,PASS
sft,20,E_math,14,mlp.gate_proj,0.01,579,579.0,0.0,PASS
sft,20,E_math,14,mlp.gate_proj,0.025,316,316.0,0.0,PASS
sft,20,E_math,14,mlp.gate_proj,0.05,154,154.0,0.0,PASS
sft,20,E_math,14,mlp.gate_proj,0.1,47,47.0,0.0,PASS
sft,20,E_math,14,mlp.up_proj,0.01,1012,1012.0,0.0,PASS
sft,20,E_math,14,mlp.up_proj,0.025,742,742.0,0.0,PASS
sft,20,E_math,14,mlp.up_proj,0.05,526,526.0,0.0,PASS
sft,20,E_math,14,mlp.up_proj,0.1,319,319.0,0.0,PASS
sft,20,E_math,14,self_attn.k_proj,0.01,262,262.0,0.0,PASS
sft,20,E_math,14,self_attn.k_proj,0.025,150,150.0,0.0,PASS
sft,20,E_math,14,self_attn.k_proj,0.05,83,83.0,0.0,PASS
sft,20,E_math,14,self_attn.k_proj,0.1,38,38.0,0.0,PASS
sft,20,E_math,14,self_attn.o_proj,0.01,822,822.0,0.0,PASS
sft,20,E_math,14,self_attn.o_proj,0.025,601,601.0,0.0,PASS
sft,20,E_math,14,self_attn.o_proj,0.05,436,436.0,0.0,PASS
sft,20,E_math,14,self_attn.o_proj,0.1,281,281.0,0.0,PASS
sft,20,E_math,14,self_attn.q_proj,0.01,387,387.0,0.0,PASS
sft,20,E_math,14,self_attn.q_proj,0.025,205,205.0,0.0,PASS
sft,20,E_math,14,self_attn.q_proj,0.05,101,101.0,0.0,PASS
sft,20,E_math,14,self_attn.q_proj,0.1,38,38.0,0.0,PASS
sft,20,E_math,14,self_attn.v_proj,0.01,654,654.0,0.0,PASS
sft,20,E_math,14,self_attn.v_proj,0.025,512,512.0,0.0,PASS
sft,20,E_math,14,self_attn.v_proj,0.05,392,392.0,0.0,PASS
sft,20,E_math,14,self_attn.v_proj,0.1,269,269.0,0.0,PASS
sft,20,E_ood,14,mlp.down_proj,0.01,2447,2447.0,0.0,PASS
sft,20,E_ood,14,mlp.down_proj,0.025,2051,2051.0,0.0,PASS
sft,20,E_ood,14,mlp.down_proj,0.05,1661,1661.0,0.0,PASS
sft,20,E_ood,14,mlp.down_proj,0.1,1205,1205.0,0.0,PASS
sft,20,E_ood,14,mlp.gate_proj,0.01,1337,1337.0,0.0,PASS
sft,20,E_ood,14,mlp.gate_proj,0.025,718,718.0,0.0,PASS
sft,20,E_ood,14,mlp.gate_proj,0.05,319,319.0,0.0,PASS
sft,20,E_ood,14,mlp.gate_proj,0.1,81,81.0,0.0,PASS
sft,20,E_ood,14,mlp.up_proj,0.01,2252,2252.0,0.0,PASS
sft,20,E_ood,14,mlp.up_proj,0.025,1761,1761.0,0.0,PASS
sft,20,E_ood,14,mlp.up_proj,0.05,1305,1305.0,0.0,PASS
sft,20,E_ood,14,mlp.up_proj,0.1,812,812.0,0.0,PASS
sft,20,E_ood,14,self_attn.k_proj,0.01,330,330.0,0.0,PASS
sft,20,E_ood,14,self_attn.k_proj,0.025,178,178.0,0.0,PASS
sft,20,E_ood,14,self_attn.k_proj,0.05,92,92.0,0.0,PASS
sft,20,E_ood,14,self_attn.k_proj,0.1,40,40.0,0.0,PASS
sft,20,E_ood,14,self_attn.o_proj,0.01,1549,1549.0,0.0,PASS
sft,20,E_ood,14,self_attn.o_proj,0.025,1183,1183.0,0.0,PASS
sft,20,E_ood,14,self_attn.o_proj,0.05,883,883.0,0.0,PASS
sft,20,E_ood,14,self_attn.o_proj,0.1,579,579.0,0.0,PASS
sft,20,E_ood,14,self_attn.q_proj,0.01,605,605.0,0.0,PASS
sft,20,E_ood,14,self_attn.q_proj,0.025,290,290.0,0.0,PASS
sft,20,E_ood,14,self_attn.q_proj,0.05,124,124.0,0.0,PASS
sft,20,E_ood,14,self_attn.q_proj,0.1,42,42.0,0.0,PASS
sft,20,E_ood,14,self_attn.v_proj,0.01,846,846.0,0.0,PASS
sft,20,E_ood,14,self_attn.v_proj,0.025,725,725.0,0.0,PASS
sft,20,E_ood,14,self_attn.v_proj,0.05,599,599.0,0.0,PASS
sft,20,E_ood,14,self_attn.v_proj,0.1,442,442.0,0.0,PASS
sft,20,E_if,14,mlp.down_proj,0.01,2428,2428.0,0.0,PASS
sft,20,E_if,14,mlp.down_proj,0.025,2020,2020.0,0.0,PASS
sft,20,E_if,14,mlp.down_proj,0.05,1620,1620.0,0.0,PASS
sft,20,E_if,14,mlp.down_proj,0.1,1153,1153.0,0.0,PASS
sft,20,E_if,14,mlp.gate_proj,0.01,1294,1294.0,0.0,PASS
sft,20,E_if,14,mlp.gate_proj,0.025,697,697.0,0.0,PASS
sft,20,E_if,14,mlp.gate_proj,0.05,320,320.0,0.0,PASS
sft,20,E_if,14,mlp.gate_proj,0.1,93,93.0,0.0,PASS
sft,20,E_if,14,mlp.up_proj,0.01,2166,2166.0,0.0,PASS
sft,20,E_if,14,mlp.up_proj,0.025,1656,1656.0,0.0,PASS
sft,20,E_if,14,mlp.up_proj,0.05,1192,1192.0,0.0,PASS
sft,20,E_if,14,mlp.up_proj,0.1,709,709.0,0.0,PASS
sft,20,E_if,14,self_attn.k_proj,0.01,343,343.0,0.0,PASS
sft,20,E_if,14,self_attn.k_proj,0.025,188,188.0,0.0,PASS
sft,20,E_if,14,self_attn.k_proj,0.05,98,98.0,0.0,PASS
sft,20,E_if,14,self_attn.k_proj,0.1,42,42.0,0.0,PASS
sft,20,E_if,14,self_attn.o_proj,0.01,1507,1507.0,0.0,PASS
sft,20,E_if,14,self_attn.o_proj,0.025,1152,1152.0,0.0,PASS
sft,20,E_if,14,self_attn.o_proj,0.05,862,862.0,0.0,PASS
sft,20,E_if,14,self_attn.o_proj,0.1,566,566.0,0.0,PASS
sft,20,E_if,14,self_attn.q_proj,0.01,626,626.0,0.0,PASS
sft,20,E_if,14,self_attn.q_proj,0.025,306,306.0,0.0,PASS
sft,20,E_if,14,self_attn.q_proj,0.05,134,134.0,0.0,PASS
sft,20,E_if,14,self_attn.q_proj,0.1,44,44.0,0.0,PASS
sft,20,E_if,14,self_attn.v_proj,0.01,828,828.0,0.0,PASS
sft,20,E_if,14,self_attn.v_proj,0.025,700,700.0,0.0,PASS
sft,20,E_if,14,self_attn.v_proj,0.05,567,567.0,0.0,PASS
sft,20,E_if,14,self_attn.v_proj,0.1,405,405.0,0.0,PASS
sft,40,E_general,14,mlp.down_proj,0.01,2527,2527.0,0.0,PASS
sft,40,E_general,14,mlp.down_proj,0.025,2163,2163.0,0.0,PASS
sft,40,E_general,14,mlp.down_proj,0.05,1797,1797.0,0.0,PASS
sft,40,E_general,14,mlp.down_proj,0.1,1357,1357.0,0.0,PASS
sft,40,E_general,14,mlp.gate_proj,0.01,1390,1390.0,0.0,PASS
sft,40,E_general,14,mlp.gate_proj,0.025,777,777.0,0.0,PASS
sft,40,E_general,14,mlp.gate_proj,0.05,363,363.0,0.0,PASS
sft,40,E_general,14,mlp.gate_proj,0.1,98,98.0,0.0,PASS
sft,40,E_general,14,mlp.up_proj,0.01,2308,2308.0,0.0,PASS
sft,40,E_general,14,mlp.up_proj,0.025,1845,1845.0,0.0,PASS
sft,40,E_general,14,mlp.up_proj,0.05,1404,1404.0,0.0,PASS
sft,40,E_general,14,mlp.up_proj,0.1,915,915.0,0.0,PASS
sft,40,E_general,14,self_attn.k_proj,0.01,375,375.0,0.0,PASS
sft,40,E_general,14,self_attn.k_proj,0.025,212,212.0,0.0,PASS
sft,40,E_general,14,self_attn.k_proj,0.05,112,112.0,0.0,PASS
sft,40,E_general,14,self_attn.k_proj,0.1,49,49.0,0.0,PASS
sft,40,E_general,14,self_attn.o_proj,0.01,1578,1578.0,0.0,PASS
sft,40,E_general,14,self_attn.o_proj,0.025,1232,1232.0,0.0,PASS
sft,40,E_general,14,self_attn.o_proj,0.05,948,948.0,0.0,PASS
sft,40,E_general,14,self_attn.o_proj,0.1,652,652.0,0.0,PASS
sft,40,E_general,14,self_attn.q_proj,0.01,691,691.0,0.0,PASS
sft,40,E_general,14,self_attn.q_proj,0.025,350,350.0,0.0,PASS
sft,40,E_general,14,self_attn.q_proj,0.05,156,156.0,0.0,PASS
sft,40,E_general,14,self_attn.q_proj,0.1,50,50.0,0.0,PASS
sft,40,E_general,14,self_attn.v_proj,0.01,862,862.0,0.0,PASS
sft,40,E_general,14,self_attn.v_proj,0.025,749,749.0,0.0,PASS
sft,40,E_general,14,self_attn.v_proj,0.05,629,629.0,0.0,PASS
sft,40,E_general,14,self_attn.v_proj,0.1,477,477.0,0.0,PASS
sft,40,E_math,14,mlp.down_proj,0.01,1154,1154.0,0.0,PASS
sft,40,E_math,14,mlp.down_proj,0.025,903,903.0,0.0,PASS
sft,40,E_math,14,mlp.down_proj,0.05,693,693.0,0.0,PASS
sft,40,E_math,14,mlp.down_proj,0.1,476,476.0,0.0,PASS
sft,40,E_math,14,mlp.gate_proj,0.01,578,578.0,0.0,PASS
sft,40,E_math,14,mlp.gate_proj,0.025,315,315.0,0.0,PASS
sft,40,E_math,14,mlp.gate_proj,0.05,154,154.0,0.0,PASS
sft,40,E_math,14,mlp.gate_proj,0.1,47,47.0,0.0,PASS
sft,40,E_math,14,mlp.up_proj,0.01,1011,1011.0,0.0,PASS
sft,40,E_math,14,mlp.up_proj,0.025,740,740.0,0.0,PASS
sft,40,E_math,14,mlp.up_proj,0.05,525,525.0,0.0,PASS
sft,40,E_math,14,mlp.up_proj,0.1,318,318.0,0.0,PASS
sft,40,E_math,14,self_attn.k_proj,0.01,261,261.0,0.0,PASS
sft,40,E_math,14,self_attn.k_proj,0.025,149,149.0,0.0,PASS
sft,40,E_math,14,self_attn.k_proj,0.05,83,83.0,0.0,PASS
sft,40,E_math,14,self_attn.k_proj,0.1,38,38.0,0.0,PASS
sft,40,E_math,14,self_attn.o_proj,0.01,821,821.0,0.0,PASS
sft,40,E_math,14,self_attn.o_proj,0.025,601,601.0,0.0,PASS
sft,40,E_math,14,self_attn.o_proj,0.05,436,436.0,0.0,PASS
sft,40,E_math,14,self_attn.o_proj,0.1,281,281.0,0.0,PASS
sft,40,E_math,14,self_attn.q_proj,0.01,384,384.0,0.0,PASS
sft,40,E_math,14,self_attn.q_proj,0.025,203,203.0,0.0,PASS
sft,40,E_math,14,self_attn.q_proj,0.05,100,100.0,0.0,PASS
sft,40,E_math,14,self_attn.q_proj,0.1,37,37.0,0.0,PASS
sft,40,E_math,14,self_attn.v_proj,0.01,654,654.0,0.0,PASS
sft,40,E_math,14,self_attn.v_proj,0.025,511,511.0,0.0,PASS
sft,40,E_math,14,self_attn.v_proj,0.05,392,392.0,0.0,PASS
sft,40,E_math,14,self_attn.v_proj,0.1,269,269.0,0.0,PASS
sft,40,E_ood,14,mlp.down_proj,0.01,2447,2447.0,0.0,PASS
sft,40,E_ood,14,mlp.down_proj,0.025,2051,2051.0,0.0,PASS
sft,40,E_ood,14,mlp.down_proj,0.05,1660,1660.0,0.0,PASS
sft,40,E_ood,14,mlp.down_proj,0.1,1204,1204.0,0.0,PASS
sft,40,E_ood,14,mlp.gate_proj,0.01,1337,1337.0,0.0,PASS
sft,40,E_ood,14,mlp.gate_proj,0.025,718,718.0,0.0,PASS
sft,40,E_ood,14,mlp.gate_proj,0.05,319,319.0,0.0,PASS
sft,40,E_ood,14,mlp.gate_proj,0.1,81,81.0,0.0,PASS
sft,40,E_ood,14,mlp.up_proj,0.01,2251,2251.0,0.0,PASS
sft,40,E_ood,14,mlp.up_proj,0.025,1760,1760.0,0.0,PASS
sft,40,E_ood,14,mlp.up_proj,0.05,1304,1304.0,0.0,PASS
sft,40,E_ood,14,mlp.up_proj,0.1,811,811.0,0.0,PASS
sft,40,E_ood,14,self_attn.k_proj,0.01,331,331.0,0.0,PASS
sft,40,E_ood,14,self_attn.k_proj,0.025,179,179.0,0.0,PASS
sft,40,E_ood,14,self_attn.k_proj,0.05,92,92.0,0.0,PASS
sft,40,E_ood,14,self_attn.k_proj,0.1,40,40.0,0.0,PASS
sft,40,E_ood,14,self_attn.o_proj,0.01,1549,1549.0,0.0,PASS
sft,40,E_ood,14,self_attn.o_proj,0.025,1184,1184.0,0.0,PASS
sft,40,E_ood,14,self_attn.o_proj,0.05,884,884.0,0.0,PASS
sft,40,E_ood,14,self_attn.o_proj,0.1,580,580.0,0.0,PASS
sft,40,E_ood,14,self_attn.q_proj,0.01,603,603.0,0.0,PASS
sft,40,E_ood,14,self_attn.q_proj,0.025,289,289.0,0.0,PASS
sft,40,E_ood,14,self_attn.q_proj,0.05,123,123.0,0.0,PASS
sft,40,E_ood,14,self_attn.q_proj,0.1,41,41.0,0.0,PASS
sft,40,E_ood,14,self_attn.v_proj,0.01,846,846.0,0.0,PASS
sft,40,E_ood,14,self_attn.v_proj,0.025,725,725.0,0.0,PASS
sft,40,E_ood,14,self_attn.v_proj,0.05,599,599.0,0.0,PASS
sft,40,E_ood,14,self_attn.v_proj,0.1,442,442.0,0.0,PASS
sft,40,E_if,14,mlp.down_proj,0.01,2426,2426.0,0.0,PASS
sft,40,E_if,14,mlp.down_proj,0.025,2018,2018.0,0.0,PASS
sft,40,E_if,14,mlp.down_proj,0.05,1617,1617.0,0.0,PASS
sft,40,E_if,14,mlp.down_proj,0.1,1150,1150.0,0.0,PASS
sft,40,E_if,14,mlp.gate_proj,0.01,1294,1294.0,0.0,PASS
sft,40,E_if,14,mlp.gate_proj,0.025,697,697.0,0.0,PASS
sft,40,E_if,14,mlp.gate_proj,0.05,320,320.0,0.0,PASS
sft,40,E_if,14,mlp.gate_proj,0.1,93,93.0,0.0,PASS
sft,40,E_if,14,mlp.up_proj,0.01,2165,2165.0,0.0,PASS
sft,40,E_if,14,mlp.up_proj,0.025,1654,1654.0,0.0,PASS
sft,40,E_if,14,mlp.up_proj,0.05,1190,1190.0,0.0,PASS
sft,40,E_if,14,mlp.up_proj,0.1,707,707.0,0.0,PASS
sft,40,E_if,14,self_attn.k_proj,0.01,344,344.0,0.0,PASS
sft,40,E_if,14,self_attn.k_proj,0.025,189,189.0,0.0,PASS
sft,40,E_if,14,self_attn.k_proj,0.05,98,98.0,0.0,PASS
sft,40,E_if,14,self_attn.k_proj,0.1,43,43.0,0.0,PASS
sft,40,E_if,14,self_attn.o_proj,0.01,1503,1503.0,0.0,PASS
sft,40,E_if,14,self_attn.o_proj,0.025,1148,1148.0,0.0,PASS
sft,40,E_if,14,self_attn.o_proj,0.05,859,859.0,0.0,PASS
sft,40,E_if,14,self_attn.o_proj,0.1,563,563.0,0.0,PASS
sft,40,E_if,14,self_attn.q_proj,0.01,624,624.0,0.0,PASS
sft,40,E_if,14,self_attn.q_proj,0.025,305,305.0,0.0,PASS
sft,40,E_if,14,self_attn.q_proj,0.05,134,134.0,0.0,PASS
sft,40,E_if,14,self_attn.q_proj,0.1,44,44.0,0.0,PASS
sft,40,E_if,14,self_attn.v_proj,0.01,828,828.0,0.0,PASS
sft,40,E_if,14,self_attn.v_proj,0.025,700,700.0,0.0,PASS
sft,40,E_if,14,self_attn.v_proj,0.05,567,567.0,0.0,PASS
sft,40,E_if,14,self_attn.v_proj,0.1,405,405.0,0.0,PASS
sft,80,E_general,14,mlp.down_proj,0.01,2526,2526.0,0.0,PASS
sft,80,E_general,14,mlp.down_proj,0.025,2162,2162.0,0.0,PASS
sft,80,E_general,14,mlp.down_proj,0.05,1796,1796.0,0.0,PASS
sft,80,E_general,14,mlp.down_proj,0.1,1356,1356.0,0.0,PASS
sft,80,E_general,14,mlp.gate_proj,0.01,1386,1386.0,0.0,PASS
sft,80,E_general,14,mlp.gate_proj,0.025,772,772.0,0.0,PASS
sft,80,E_general,14,mlp.gate_proj,0.05,359,359.0,0.0,PASS
sft,80,E_general,14,mlp.gate_proj,0.1,97,97.0,0.0,PASS
sft,80,E_general,14,mlp.up_proj,0.01,2307,2307.0,0.0,PASS
sft,80,E_general,14,mlp.up_proj,0.025,1843,1843.0,0.0,PASS
sft,80,E_general,14,mlp.up_proj,0.05,1402,1402.0,0.0,PASS
sft,80,E_general,14,mlp.up_proj,0.1,913,913.0,0.0,PASS
sft,80,E_general,14,self_attn.k_proj,0.01,374,374.0,0.0,PASS
sft,80,E_general,14,self_attn.k_proj,0.025,212,212.0,0.0,PASS
sft,80,E_general,14,self_attn.k_proj,0.05,112,112.0,0.0,PASS
sft,80,E_general,14,self_attn.k_proj,0.1,48,48.0,0.0,PASS
sft,80,E_general,14,self_attn.o_proj,0.01,1576,1576.0,0.0,PASS
sft,80,E_general,14,self_attn.o_proj,0.025,1229,1229.0,0.0,PASS
sft,80,E_general,14,self_attn.o_proj,0.05,945,945.0,0.0,PASS
sft,80,E_general,14,self_attn.o_proj,0.1,649,649.0,0.0,PASS
sft,80,E_general,14,self_attn.q_proj,0.01,688,688.0,0.0,PASS
sft,80,E_general,14,self_attn.q_proj,0.025,348,348.0,0.0,PASS
sft,80,E_general,14,self_attn.q_proj,0.05,155,155.0,0.0,PASS
sft,80,E_general,14,self_attn.q_proj,0.1,49,49.0,0.0,PASS
sft,80,E_general,14,self_attn.v_proj,0.01,862,862.0,0.0,PASS
sft,80,E_general,14,self_attn.v_proj,0.025,749,749.0,0.0,PASS
sft,80,E_general,14,self_attn.v_proj,0.05,629,629.0,0.0,PASS
sft,80,E_general,14,self_attn.v_proj,0.1,476,476.0,0.0,PASS
sft,80,E_math,14,mlp.down_proj,0.01,1151,1151.0,0.0,PASS
sft,80,E_math,14,mlp.down_proj,0.025,900,900.0,0.0,PASS
sft,80,E_math,14,mlp.down_proj,0.05,689,689.0,0.0,PASS
sft,80,E_math,14,mlp.down_proj,0.1,472,472.0,0.0,PASS
sft,80,E_math,14,mlp.gate_proj,0.01,570,570.0,0.0,PASS
sft,80,E_math,14,mlp.gate_proj,0.025,309,309.0,0.0,PASS
sft,80,E_math,14,mlp.gate_proj,0.05,149,149.0,0.0,PASS
